Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
2484,11036,51177,51702,6773,4183,54188,7451,13834,7579,139964,53843
2485,8511,58261,55239,7125,4501,60999,6067,16701,8033,155172,51971
2486,18342,56389,56425,5402,3401,59002,13195,15179,8595,142079,61752
2487,8881,73234,65964,6637,3975,77077,6468,24368,11287,213728,84508
2488,2038,59997,58722,6617,4530,63422,1515,16583,8458,142998,59328
2489,4323,59562,60526,5735,3544,62603,3092,17051,9969,160575,77677
2490,412,59590,57701,7833,3671,62472,300,15731,9050,146475,65440
2500,26975,67429,64108,5978,3170,70227,19818,20925,11752,174613,44976
2502,6000,53391,55506,5431,3382,55589,4317,13294,8538,107511,40125
2505,2767,65626,65060,4240,2198,68350,2137,18337,11146,144092,61350
2506,3899,56149,58338,4498,2615,58529,2878,14348,9437,115356,46174
2508,5722,78086,77272,3544,1635,81729,4536,23721,15139,197250,99123
2515,7357,92455,86458,5761,3234,96361,5569,33718,18296,273506,122745
2516,4085,94447,83564,3509,1915,98882,3224,33065,17657,221899,112775
2517,7884,75149,75402,3087,1404,78444,5985,23741,15040,203744,102587
2518,11176,67716,68638,5154,2618,70710,8501,19635,12334,164552,73761
2519,10007,71731,69610,6172,3472,74851,7525,22358,12810,197066,79614
2525,7332,74250,73645,5267,2988,77502,5619,22899,14818,202946,94270
2526,9918,71170,70323,4742,2994,74168,7688,20923,13535,185232,79074
2527,15780,63951,65727,2307,652,66729,12488,16505,11643,133229,62841
2528,12043,59295,59817,5402,2860,62015,9059,15448,9444,135525,58449
2529,17310,68934,68547,4165,1891,72124,13298,19919,12577,167828,79046
2530,19977,64232,64899,3305,1073,67171,15326,17328,11346,146033,69841
2533,10283,72846,70947,5904,3813,76390,7298,24998,14140,271514,115783
2534,3418,77583,73654,6561,3568,81262,2441,27749,13204,261134,110664
2535,4386,73884,66527,7120,4839,77730,3020,27068,12189,302302,118973
2536,10549,52277,50739,5439,3439,54927,7161,13889,7471,164098,64808
2537,7399,55477,53821,5560,3539,58258,5101,15538,8134,185552,81252
2538,1454,65219,56864,6584,3963,68743,983,22455,8993,250412,87412
2539,11006,53090,52314,6667,4152,55881,7421,14900,7512,184565,73276
2540,24753,58031,57965,6285,3489,60811,17703,15954,9269,177074,71499
2541,14984,57706,57078,4606,2462,60050,11065,14948,9170,130818,49894
2545,696,45269,49193,8889,4491,47864,447,11516,6767,198302,67413
2546,5372,51133,48331,6436,3944,53583,3380,15360,6605,203462,73270
2548,5098,57964,55469,6187,3527,60500,3540,16544,8757,217894,91813
2549,2393,55823,53424,6298,3490,58574,1685,15299,9143,180059,77158
2550,10110,52812,53035,5579,3664,55483,6936,14516,8738,161455,69478
2551,2094,51051,49773,6564,4205,53353,1436,13145,7332,163764,69744
2555,83,65843,64161,4940,5708,67999,61,20066,9065,92336,33077
2556,1442,96465,60643,10704,4760,99463,1035,41201,11342,159729,50231
2557,12707,70086,71933,1990,-25,73018,10330,18888,13722,98969,49523
2558,6420,58298,61365,-439,-536,60673,4987,14139,10880,99125,48762
2559,1245,49080,52224,638,44,51121,858,11905,8686,45602,13789
2560,45332,58483,61603,1352,31,60819,34283,14910,10557,101938,43649
2563,161,59383,57524,2443,3507,61489,124,15011,8332,86675,47800
2564,7290,52507,56269,302,56,54474,5279,12859,9377,77726,30106
2565,19253,64687,67124,808,68,67170,14808,17854,12355,99215,41347
2566,15696,56582,60174,426,-84,58847,11772,14138,10336,94802,41381
2567,25025,71131,72195,194,-448,74132,20160,19605,13647,134820,72668
2568,665,73068,73035,2770,1248,77204,473,25556,14422,224198,98189
2569,863,67982,70504,4694,2394,70982,664,19459,13327,170626,89622
2570,37835,73383,71897,1648,-9,76333,30159,21316,13849,136090,64448
2571,8228,73566,74124,1546,-34,76608,6526,21436,14102,159578,84216
2572,3277,65685,67920,3571,882,68687,2538,17939,12809,134388,61892
2573,3334,62048,65039,3233,1131,64480,2602,15828,11321,109259,55602
2574,3455,64201,64685,3160,1076,66804,2636,17755,11624,128713,64982
2575,10820,115204,66617,6342,2901,118421,8145,49811,11429,171367,67313
2576,8609,95668,79799,7531,4095,100114,5981,40343,14606,365525,122650
2577,9936,72517,67049,6207,3309,75825,7138,25175,11435,251075,78839
2578,1633,61613,65325,7714,4837,64993,1030,22266,9928,266268,114637
2579,2642,68902,67461,6425,3867,72275,1926,22099,11708,205862,72005
2580,17657,63157,63352,4672,2394,66024,13415,17372,11086,146880,64588
2581,1478,69055,72045,4335,2612,73977,1157,19308,13564,188058,90932
2582,8445,76422,76918,3615,1500,79986,6591,23187,15860,218864,104639
2583,2568,56211,53474,5546,3275,59837,1810,15703,9263,173226,75093
2584,321,63389,65241,4726,1498,67521,237,17796,9477,161885,77064
2585,181,73822,51321,18707,6027,83047,134,25848,12384,318012,52243
2586,1542,56326,54932,6068,2200,61485,1093,15788,8977,167693,66292
2587,1498,58189,55041,5801,2299,61915,1096,15676,9785,159296,62567
2588,230,76888,56817,10813,4731,83563,159,27742,17106,231903,74880
2590,3716,59241,56986,4817,2832,63127,2663,16993,9315,171212,71836
2594,6590,56294,54009,6069,2678,60400,4786,15045,8833,142743,50728
2600,5951,132955,114379,1404,1155,138192,4967,49010,24558,511930,210191
2601,3614,73493,68149,-190,571,76058,2457,27200,16116,162240,19853
2602,23085,87803,85695,1093,1106,90967,18948,26713,17495,247977,89360
2603,7558,139612,105761,307,1507,145723,6398,52297,23456,452615,146764
2604,9137,104330,100484,71,609,108185,7880,32664,21517,304521,118845
2605,8111,106518,102253,917,832,110565,6754,35448,20097,335665,154364
2606,8907,84770,81019,2078,726,88084,7524,24454,15155,194400,56317
2607,9988,93421,90704,1321,726,97088,8114,29862,17745,290970,128200
2609,583,95436,65784,7788,4831,99265,455,34872,12732,162408,57964
2611,24273,88053,87963,148,251,91006,20223,26086,18013,224025,100362
2612,14024,94097,85391,557,587,97256,11924,28740,16931,233874,54230
2614,13576,81740,82977,1145,653,84690,10856,24418,15796,266373,112355
2615,30318,73572,75483,-386,-53,76051,24735,19814,14959,182290,87712
2617,26134,72626,72858,391,326,75294,20893,20130,13501,177358,52060
2618,951,124752,81154,6767,3168,129228,733,52267,18031,370597,139607
2619,6326,100663,93544,557,33,104068,5363,31749,21123,290001,155773
2620,29817,78511,77229,2677,1104,81369,24870,21735,15145,192111,82931
2621,4448,88831,86922,2823,806,92404,3658,27261,18393,252596,133337
2622,2494,61091,67235,6667,4391,64585,1732,18939,11261,180381,79844
2623,365,65371,69969,4546,5066,67630,290,16525,13555,133712,80990
2624,54,56811,36818,3059,3257,60367,38,20804,4894,91044,9858
2625,178,62996,47681,7893,4125,66399,132,19162,9970,174174,40338
2626,311,66237,70587,2240,1019,68422,245,17365,13899,184463,94394
2627,3399,64036,59008,7011,3932,68455,2624,17816,9732,153375,55459
2628,1267,56601,57545,3929,2597,59601,896,15604,9364,134936,68442
2629,260,54165,52847,14103,9734,57836,167,16501,9301,139311,64514
2630,5268,63060,64857,5947,3311,66162,3969,17375,11269,158589,62858
2631,373,52542,52128,4504,3656,56233,245,15464,9531,146655,45774
2632,1135,59791,57302,5516,3685,63228,840,16240,10830,159072,70316
2633,196,49044,54346,702,-749,52628,130,13467,8886,125143,66142
2640,24555,67130,62922,4226,2242,70441,18992,19062,11082,193050,74908
2641,9295,52752,53408,4618,2151,55136,7052,11853,8424,112835,45425
2642,3404,60641,57982,5768,2807,65021,2572,16069,10256,162675,74136
2643,1790,52329,53881,4181,2542,55112,1333,12204,8582,130431,61862
2644,1450,67369,55835,3960,2201,73755,1062,20952,9771,179332,66900
2645,227,56654,46632,3319,1968,59989,162,14172,9862,103001,36160
2646,4017,55888,55198,4847,2114,60176,2920,14493,9669,177914,73632
2647,1490,52163,53260,4831,2260,55483,1016,13913,9166,193588,79689
2648,1318,45749,50550,5207,1534,49844,865,13204,8513,124255,50011
2650,36990,66177,62585,4637,2239,69584,29143,17927,11129,164953,60562
2651,1437,58973,59351,3101,1643,61355,1203,12599,9696,102065,41718
2652,3063,60596,58267,5663,2607,67172,2272,16101,10341,144682,67066
2653,1444,58313,58287,5928,3222,61868,1040,15777,10673,165153,76332
2655,832,55500,59195,5017,2246,59305,612,14199,9455,145879,75766
2656,744,58689,54132,7688,2386,63994,543,15860,10794,177525,59359
2658,790,53488,49061,4366,3823,58032,582,13046,8116,145309,60067
2659,507,56775,51964,6015,3845,61323,367,14335,9005,157000,61796
2660,891,56771,54503,4357,1918,61797,656,14435,9424,127526,66020
2661,145,80018,79538,28,134,83090,130,18884,18449,261054,139519
2663,2649,57876,59772,4434,2472,60908,2033,14156,9554,134139,50556
2665,1201,54869,50597,7036,3162,62865,819,14827,8668,162929,58058
2666,3215,54515,54523,4988,3147,60453,2266,14985,8816,178151,69713
2668,214,56416,47932,10289,3400,64965,143,16519,7804,163761,49878
2669,900,49211,49209,6809,2844,59143,619,11994,8076,111249,37357
2671,2359,63164,64489,6204,3037,68171,1774,17599,10220,154240,57760
2672,852,61950,53377,5590,1824,67229,634,16021,10153,133555,40647
2675,1023,54037,53305,4244,2093,60429,761,13238,9100,88665,31369
2680,16817,58989,57108,6885,3380,62462,13139,14796,9740,145813,34424
2681,1109,56933,59711,4205,2949,60133,860,14206,9288,150653,58503
2700,2758,54645,56235,4373,1844,57882,2032,13433,9029,126821,48740
2701,1545,61518,60059,6578,2762,64685,1149,16593,11190,160481,71481
2702,426,66232,52911,4902,1144,69529,322,17195,9905,108653,50354
2703,405,52565,53951,1685,266,55439,306,12162,8483,102267,47326
2705,6192,54711,57125,3330,1722,57796,4612,14099,9669,135395,51213
2706,685,57054,56626,5629,1816,59740,543,13725,9422,115770,45486
2707,827,47213,52937,4812,2816,55751,586,15221,8923,211688,50798
2710,5880,52725,54596,4334,2860,57225,4162,14581,8997,161848,61272
2711,1872,55189,54912,4615,1638,59054,1388,14370,9684,142297,49322
2712,741,54227,50320,9865,6235,59486,500,15053,8755,152172,57380
2713,1571,49402,52553,3452,2172,55528,1072,13296,7930,150818,59021
2714,1637,53225,54543,6586,2122,57855,1129,14582,8402,185482,77989
2715,869,53529,54650,3980,2419,57419,643,13717,8838,113480,39947
2716,652,58516,53965,2948,1124,63247,478,16293,8996,250239,66542
2717,609,50284,49447,8296,4462,53029,402,13387,8640,106837,40415
2720,4676,63847,64285,4706,3224,66755,3591,17077,11032,148797,69640
2721,112,38660,42770,14880,2423,43699,75,9151,4747,142966,54158
2722,1929,58483,53542,4278,2481,62442,1379,16653,9388,154108,50251
2725,169,67147,51421,1952,1348,75956,120,19813,12021,203910,58241
2726,177,61323,48528,8349,5051,66285,117,21531,9791,177201,57395
2727,252,70510,49616,14659,4701,80607,191,21057,8783,263451,57864
2729,989,61313,59367,5353,1973,65796,737,16656,10483,153669,71100
2730,767,52092,51429,3642,2729,54245,537,13907,7967,117968,55149
2731,4344,63504,58177,3796,2657,67956,3201,18575,10223,197573,87438
2732,1088,49782,51986,9446,3594,54115,717,13769,8274,184229,75675
2733,357,47686,49901,2463,460,52528,255,13205,9100,156599,50158
2734,218,72359,51341,3599,3221,79897,157,25056,10378,215194,82406
2735,198,43612,45214,2601,1116,47619,139,9127,7127,76308,30286
2736,234,52352,50065,7426,1530,56689,160,14440,9298,109877,42210
2737,521,55003,48741,2932,2088,59164,368,17197,7431,72184,20501
2738,1328,66760,64469,2315,1956,71170,1008,19271,12311,239940,85775
2739,877,60842,54644,7247,1685,64681,632,17958,8983,105597,6896
2745,19556,78495,73569,2049,36,81585,15786,23584,14732,158003,75502
2747,30812,64052,66257,824,-61,66581,24488,16446,12152,95981,48699
2748,1235,111580,67164,7169,4495,116853,952,45642,13593,241653,71950
2749,10034,67599,67754,1568,118,70317,7949,18389,12850,127849,62473
2750,28627,65623,67414,2037,334,68228,22432,17594,12454,124576,57988
2752,3865,69259,70812,3393,441,72202,3135,18396,14397,130017,72115
2753,10395,66242,65143,5864,2851,68880,7918,18903,11580,139899,58491
2754,4328,66091,68830,5262,1444,68699,3261,18914,12853,151112,70129
2756,21526,68724,66649,4374,1645,71574,16920,19406,12132,141568,62770
2757,554,67143,64292,5249,4198,70025,426,19399,11659,191165,72449
2758,5664,71906,70561,4785,2354,75137,4274,22280,14026,189005,87108
2759,15914,63145,65820,603,-152,65768,12612,16038,11987,120400,61220
2760,20436,57058,60192,-438,-856,59380,15844,13513,10336,74536,33462
2761,20763,61557,65019,-778,-686,63936,16452,15302,11557,87020,42045
2762,14400,77416,81226,-1444,-1324,80013,11896,21717,16271,71836,39116
2763,20181,69267,72961,-875,-741,71755,16070,18930,13756,106669,51429
2765,30741,77559,77268,884,-453,80303,25351,22132,15491,99037,48947
2766,9578,58215,61937,-629,-759,60414,7408,14379,10620,82305,36458
2767,13601,60059,63647,-841,-1005,62330,10420,15468,11263,91393,38504
2768,16909,78843,82304,-1344,-1204,81767,13461,23903,16755,124992,64254
2769,9519,90151,93588,-2480,-1690,93357,7850,28096,20978,113447,68232
2770,30171,50523,53993,318,-133,52551,21558,11975,8948,63092,21713
2773,3783,85895,85352,2150,1122,89567,2878,29529,17987,246345,134149
2774,7769,77896,77690,2636,1144,81028,5889,25268,16463,192333,105710
2775,850,62512,62661,20577,3348,64965,587,20672,10803,150911,68337
2776,2457,68701,71819,3021,285,71657,1872,19940,14559,181916,98612
2777,10584,71095,73500,2716,1388,74091,8130,21018,14333,189598,103144
2778,1562,65295,69493,4148,2223,68181,1175,18616,13416,191913,97854
2779,2930,62353,67005,3973,1845,64770,2139,17809,12937,149467,83977
2780,7633,61499,61683,5400,3742,64167,5228,19518,10648,172332,69017
2782,3581,67583,69408,5798,4110,70479,2435,23078,13543,227260,107715
2783,1623,59497,64219,4278,2786,62026,1168,16777,11973,149008,77990
2784,772,62415,67460,3126,2084,64890,562,18423,11934,153354,80683
2785,2739,61292,65125,5963,4036,64386,1803,20534,11339,217861,96356
2786,712,58740,61391,5614,3112,61239,462,19313,10610,187877,71807
2787,2586,59964,62433,5328,3022,62857,1916,16579,11090,161292,65715
2790,7943,61515,64498,4991,2988,64130,5794,17500,10775,163242,66678
2791,176,55284,61010,9331,6903,60294,123,15981,10655,280779,98495
2792,233,67622,62769,14772,4950,76834,166,21160,12466,160269,51650
2793,475,63101,54431,6938,4410,66954,326,22326,8763,149670,53697
2794,5762,52909,53942,5083,2851,56108,4080,14224,8325,135653,52343
2795,25850,64262,64178,4723,2282,67165,19802,17741,11723,158319,67037
2797,258,56287,62439,3081,2922,60098,190,14991,9354,130424,61929
2798,1330,77067,74109,5375,2679,81953,957,27635,14129,200289,102670
2799,2479,61796,64780,3663,2239,64929,1892,16532,11389,130217,62804
2800,27825,70009,68314,4973,2246,73446,21805,20153,12203,166013,68793
2803,155,57406,58202,5518,3374,60931,110,15309,8015,154811,57636
2804,1496,51712,53846,5625,3554,56899,1048,14527,8197,136687,56446
2805,246,51299,52206,6360,2800,55217,175,14766,8285,106764,53866
2806,497,62381,56145,4568,1451,66368,346,21042,9279,131725,66670
2807,214,43675,47241,4806,2868,48962,147,10629,7175,94566,45455
2808,77,49535,51709,4622,4933,52297,55,12211,7758,121256,60847
2809,118,56494,48617,15248,4454,66102,83,17003,7513,179147,56672
2810,1698,52196,50471,5972,2677,57382,1155,14171,7894,167921,67748
2817,105,41232,45687,3983,5086,53956,59,15158,6870,151442,72147
2818,472,53646,61208,3567,2761,58851,333,15782,11076,143977,60137
2820,3385,50819,55316,4592,2401,54577,2294,13663,9050,117894,43169
2821,2647,56378,56554,4552,2944,61478,1922,15962,9242,139419,50622
2822,195,45665,58731,3573,986,49570,126,13343,8205,123280,49716
2823,795,56591,55801,6139,3690,67158,573,16128,10349,153680,57083
2824,1257,65665,57149,4769,2746,76039,935,19247,10655,152284,45589
2825,1352,58996,64816,5625,2374,66419,999,16896,11133,123341,50855
2826,126,61937,54591,7354,2973,67835,96,18223,10942,161703,58562
2827,1990,50370,52868,5828,2666,57113,1337,13613,8842,114266,45169
2828,403,45555,46129,4791,2282,57232,246,15737,8380,161586,38822
2829,1678,66223,54747,3963,1768,74931,1112,23298,10655,136645,37802
2830,26521,63823,62674,4946,2418,67170,20819,16846,10816,138801,50730
2831,1221,51285,57365,6126,3515,61771,818,15471,8893,113361,48876
2832,1282,50401,53594,3867,1777,70983,829,15589,10090,90265,25827
2833,286,59481,55848,3679,183,75134,203,16105,9974,89608,17074
2834,946,44631,47133,5520,2768,47229,597,11173,6217,60436,22813
2835,2105,72269,74756,2104,835,75540,1666,20687,15078,136131,63464
2836,337,61111,58370,2222,832,65166,234,18275,9767,88801,25093
2838,69,50792,57775,-11419,-11419,55970,47,12423,10366,51302,11157
2839,539,55921,55017,3507,3900,60421,386,14680,10168,78072,22976
2840,1380,62705,62617,2001,1117,67626,1033,17237,11404,103267,38313
2842,338,43016,52017,1404,1155,48029,191,13377,7755,78460,41406
2843,670,48472,51576,5659,2638,56324,449,13321,7330,133100,49806
2844,677,55784,54137,4726,2826,59713,470,17589,9377,112813,48553
2845,1089,64537,66724,-821,172,66774,851,16872,11738,144940,65728
2846,135,59967,65154,10553,6831,63046,100,16980,11164,149150,63424
2847,1189,60354,65001,1655,918,62697,881,16276,10646,145036,67269
2848,604,48940,53797,9720,6274,50605,393,13304,7022,119442,44395
2849,811,53493,60855,4663,1521,58488,529,16491,9180,164833,75785
2850,10943,66284,71008,4613,2136,69742,8119,20047,11565,154302,68241
2852,1994,57374,66279,3958,2776,60963,1387,17301,10580,123359,61345
2864,482,71847,64695,4110,2640,77374,348,24554,12716,144618,72934
2865,492,60129,61494,16214,4852,64539,387,15007,10776,130105,75165
2866,1765,61024,60844,5667,3509,67774,1311,17501,9861,155672,69570
2867,328,53260,52330,7309,5794,61795,220,14742,8599,127714,57037
2868,352,38043,49468,4827,2615,42287,229,10176,6585,146725,51057
2869,724,44488,51071,7519,3936,55796,447,12965,9185,120252,39418
2870,6647,63490,63674,4333,2042,67116,5025,17927,10542,140540,58214
2871,5116,59020,59738,5014,2764,63401,3801,16262,9886,144501,52868
2873,383,41588,51774,5646,3668,59256,239,11425,7851,143989,56346
2874,230,44493,49101,9426,3533,51986,142,12536,6551,154141,49007
2875,458,50214,51834,7601,5664,58284,299,14275,8270,149751,45316
2876,238,38421,48282,8759,4120,46952,142,13671,7937,125656,37820
2877,1957,53180,56910,6017,2330,62107,1381,14439,9643,121578,39270
2878,182,79242,49765,12929,5454,88679,130,28581,13040,161216,36797
2879,242,63980,62772,2678,1084,70323,180,17800,12036,91660,30323
2880,9117,62526,64773,2852,1521,64765,6926,16633,11229,129063,54203
2898,306,58451,49689,11933,4218,59949,238,13687,6971,153678,51607
2900,3112,72092,74730,637,36,74410,2614,17993,14183,160615,57270
2902,9967,75656,78360,496,82,78384,8008,21001,14808,222842,105012
2903,6159,75647,78943,1132,516,78283,4995,20712,15253,223328,106704
2904,8646,80622,83617,706,424,83650,7089,22747,16315,249180,131243
2905,18652,73781,75678,-333,-125,76338,15518,19320,14986,182072,87265
2906,11901,75372,76869,-676,-437,77805,10001,19780,15600,189883,91242
2911,3144,86587,88466,-2267,-1033,89391,2620,25579,18786,198020,102904
2912,5868,67254,68402,-21,-345,69498,4726,17384,11900,127540,27964
2913,26668,76539,76813,-809,-195,79167,21936,21292,15456,174302,65191
2914,21917,80196,81277,-1699,-735,82737,18270,22619,16788,160775,62948
3000,33602,57740,52949,830,1015,60236,21973,20036,7933,79488,7100
3002,3550,175522,101735,5462,2302,187408,2919,75887,21508,647330,93681
3003,6005,70007,68551,1039,529,72876,4543,20723,11904,100612,19365
3004,8882,96605,86095,870,342,101750,6937,35268,16761,343896,46068
3006,18268,76236,73365,1800,588,79306,14181,23951,12791,128861,20841
3008,11473,81098,77972,294,173,84234,8780,27180,15149,136829,23938
3011,16575,66186,70951,412,-49,68696,12534,19331,12944,105789,40560
3012,17223,71176,72969,78,-266,74038,13877,19616,13642,112015,52428
3013,9633,93656,91853,353,-55,97992,8102,29511,18987,173887,95907
3015,11314,91004,91825,-64,-238,94663,9367,28405,19661,190143,105869
3016,10319,106120,94382,825,533,110686,8078,39673,20054,315951,141803
3018,8198,80630,83322,1179,830,83914,6447,24945,16850,209718,102212
3019,5770,53912,56716,-611,-572,55941,4218,13391,8990,59844,19670
3020,24996,54734,57384,981,79,56834,18348,13677,9311,79824,26718
3021,27703,47811,50556,1280,490,49631,19387,11051,7456,70524,20282
3022,1949,56812,60115,-1037,503,58995,1457,14207,9805,94958,36711
3023,36592,60111,62848,-1519,-1141,62441,27731,15800,11047,95698,41258
3024,21094,62764,66501,-2785,-2117,65214,16515,16224,11503,69172,30533
3025,6902,75496,75776,1787,253,78505,5495,22239,14680,126122,65333
3026,3170,64623,62319,-2594,-2110,67032,2433,18085,11277,79388,32564
3027,6237,69205,73787,-2834,-2094,71993,4823,19990,13375,73426,30173
3028,16363,61056,64424,266,-119,63517,12668,15613,11307,122874,54484
3029,80121,57650,61783,-2315,-1869,59938,60662,14549,10178,72261,26083
3030,73417,69115,71014,-1879,-1584,71996,57032,19888,12705,107630,42072
3031,11463,81601,80367,424,196,84914,9305,24687,15891,149149,55104
3032,19652,82819,78724,1023,303,86325,15594,26534,14849,174652,60471
3033,8724,77687,73401,1589,812,80812,6633,25389,14581,175335,91269
3034,6730,69956,71764,3045,1396,72906,5065,21086,13591,192279,78595
3036,3835,79364,76551,2013,1031,83201,2937,25988,15255,284348,107831
3037,29879,62804,64547,-921,-887,65375,23193,16575,11526,109160,51135
3038,16370,64211,66065,1652,980,67020,12357,18112,12348,166453,75282
3039,10923,92840,86727,1113,351,96779,8821,31159,16715,225370,79782
3040,17792,105368,83114,1368,646,109779,14176,39079,16598,260333,92472
3041,8465,86592,81675,1178,703,90432,6691,28588,16387,247299,104796
3042,10115,74643,75471,823,-42,77924,7988,21993,14953,172296,86138
3043,10082,61447,64971,1352,457,64084,7603,16486,11705,136792,66391
3044,17316,76851,76891,1679,502,80160,13970,22405,15242,156860,73826
3046,21803,62285,65686,578,-99,64711,16736,16475,11350,101976,39938
3047,9664,45909,48772,1284,530,47625,6403,11100,6957,52809,13397
3048,7689,45666,49837,1269,667,47335,5117,10855,7428,57384,16798
3049,5886,63514,66286,0,-158,66472,4544,17005,11820,141398,67275
3051,9757,72409,70341,1090,362,75285,7215,23679,13207,126038,27668
3052,3887,81577,65372,3774,1896,84840,2740,31779,12239,204268,24533
3053,11091,55545,52182,3081,1945,57751,7019,19037,8918,121672,10682
3054,5721,103942,88055,3008,2504,108836,4537,37815,16094,293389,62473
3055,9589,77470,73498,1957,1112,80395,7765,23115,13680,151989,52233
3056,17396,78587,76296,2773,1612,81709,14201,23144,14693,137113,50117
3057,9483,81377,78474,2421,1265,84427,8007,23294,15493,123523,50703
3058,21856,73532,73969,2450,1125,76425,17420,21234,13748,139933,63843
3059,13327,69128,68556,592,-220,72393,10273,20187,13076,145876,55008
3060,7474,56008,59935,1775,584,58302,5305,15386,10072,90205,32074
3061,2266,50974,52771,3441,1583,53120,1556,13434,8371,74965,21745
3062,76,103237,69952,4537,1501,105866,64,34729,19548,257750,83877
3063,388,76576,68052,-14867,1293,80035,275,27909,13686,235522,90479
3064,63822,55758,59182,-1604,-1217,57946,48023,13783,9627,64860,24844
3065,6978,96670,90113,3275,1356,101080,5684,32731,17075,203447,48575
3066,6565,89360,83807,2142,910,92802,5518,27324,17233,125107,43757
3067,6700,88427,82746,650,725,92190,5607,27280,15932,148960,47472
3068,12666,107638,94332,3347,1931,116910,10425,37971,18348,244463,74782
3070,16446,96636,88709,3545,1773,100773,13546,32039,17441,196244,79947
3071,11865,81011,78315,2609,1188,84136,9789,24049,14485,149281,69300
3072,21208,70878,71049,2320,1093,73635,16809,20073,13079,126878,56144
3073,28925,63081,65470,3345,1400,65510,22269,16855,11520,110082,48770
3074,10388,51833,54697,1702,710,53765,7470,12655,8442,80286,30139
3075,11682,53242,56571,2262,680,55324,8568,12982,8893,81043,33475
3076,18718,56762,59331,-260,-552,59061,14247,13996,9728,90237,38473
3078,7991,100763,90013,2128,1635,105025,6519,35110,17180,240241,91315
3079,11627,113928,92163,2181,1269,118948,9125,44541,18224,318518,111289
3081,8240,63593,66900,189,-182,66122,6347,17150,12135,104920,43193
3082,17327,59867,62168,1016,476,62346,13269,15462,10656,127955,57763
3083,18911,60668,62932,1228,414,63096,13784,17223,11022,129306,49905
3084,16847,89512,85042,1932,882,93469,12912,31511,17166,268498,107472
3085,8527,77118,78610,893,267,80212,6524,24457,15543,200935,99885
3086,70,78412,71066,5863,2262,81688,50,27580,16260,212726,82020
3087,5388,70179,74199,1412,124,72868,4187,20083,14502,175865,89245
3088,16743,72862,75848,820,50,76023,12942,21664,15317,199289,104662
3089,8155,75124,74154,2,-263,78523,6472,22101,14831,207713,99442
3090,1759,94728,77241,3050,935,100213,1410,32646,15983,267998,114214
3091,1101,105921,69847,5213,1510,109755,857,40812,16351,299895,106817
3093,2523,96479,79951,3614,2033,100443,1909,36380,18233,375411,124359
3094,5573,74409,77220,1318,500,77588,4213,23234,15709,216315,117155
3095,18368,83775,81476,955,149,87485,13917,28667,16834,262414,125651
3096,1223,71376,69872,1761,75,74719,926,22025,12864,214758,97531
3097,970,116710,82214,2188,1917,121183,723,50139,17774,326810,126196
3099,3130,71047,68487,2136,1048,74299,2338,22302,13300,218652,98341
3101,16351,130274,99613,2091,1965,136250,12502,55421,19996,430008,104589
3102,4324,111815,91691,3120,1938,117926,3243,46092,18937,310819,113622
3103,10580,94720,83783,1964,1746,99163,7297,40288,16741,381778,87766
3104,13677,93672,82514,1824,1278,98116,9630,39060,16817,295058,88311
3105,6989,74767,74453,4115,1882,77998,5004,25960,14446,209967,75406
3106,10834,87583,77360,2699,1319,91327,7650,34780,14642,297101,86549
3107,8544,73246,75222,2038,1000,76465,6082,25165,14173,204972,82816
3108,16155,64955,67620,2830,1240,67901,10966,22099,11930,178950,45692
3109,19187,64105,69495,1733,709,66987,12999,21587,12801,175913,58294
3111,8046,79544,78010,2036,817,83733,5742,29009,15002,295371,91276
3113,5561,95575,80992,1536,621,99746,4153,36507,16874,290828,123035
3114,2543,103795,87511,2343,358,111571,1891,41369,18715,364736,142401
3115,2656,110872,78611,1680,570,115044,2059,44059,16085,304334,122379
3116,7380,67718,68448,2055,-28,70997,5612,19794,12956,180633,78182
3121,21349,97993,90042,1798,750,102554,18138,31361,17772,187325,57080
3122,16174,150935,93577,2492,1594,158061,12705,66508,18168,361527,66601
3123,10254,115203,93920,1024,943,120355,8103,44439,18546,325763,74031
3124,15160,116332,97980,821,1148,122010,11289,48990,19489,394217,119074
3125,9630,65067,65976,365,0,67820,6538,22224,11944,146534,34475
3126,5420,146840,110209,1014,1472,153833,4010,68055,25425,559613,163643
3127,12671,105164,97702,1226,695,109967,9425,42270,19202,328438,124925
3128,14465,59399,63318,1003,589,62071,9669,19539,10261,132611,24983
3129,11023,72598,73751,802,372,75767,7787,25275,13666,181135,64537
3130,20871,79417,76568,625,95,82804,15289,27782,15031,214112,85502
3131,14008,67301,71630,676,23,70051,10181,20871,13372,160296,69927
3132,10837,73886,75109,732,147,76830,8220,23151,14299,180061,78927
3133,14241,68628,72804,908,186,71659,9951,22980,13872,210272,82283
3134,21671,72954,72359,506,70,75985,16442,22816,13296,183750,77976
3135,12435,70612,72606,619,35,73568,9404,21436,13919,183088,85516
3136,28137,67330,69538,392,-32,70100,21630,19118,12617,163033,78950
3137,8953,63320,64758,909,110,65943,7031,16469,11649,140760,71386
3138,13921,64721,65824,338,-198,67441,10887,17305,11681,138376,69869
3139,8943,62017,60716,2947,881,65033,6871,16809,10659,151782,69664
3140,10937,65152,65624,1922,265,68042,8389,18169,11975,154187,74618
